ornament_id,ornament_name,craft,raw_location,final_node_id,mapping_decision,mapping_source,review_notes
orn_001,百鸟朝凤,灰塑,首进西路北面,stop_front_west_courtyard,change,manual_review_existing_node,首进西厅房顶所以关联前西庭
orn_002,百子千孙,灰塑,首进东路南面,stop_front_courtyard_east,change,manual_review_existing_node,前院东部靠边
orn_003,宝相花,灰塑,后西厢庑廊,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭后西厢方向
orn_004,蝙蝠,灰塑,中进东路北面,stop_rear_east_courtyard_inner,add_node,manual_review_registered_add_node,后东庭，新增点在以后庭垂直中轴为对称轴的后西庭对称过去
orn_005,独角狮,灰塑,建筑山墙垂脊前沿,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_006,独占鳌头,灰塑,昌妫廊门南面,stop_front_courtyard_west_inner,add_node,manual_review_registered_add_node,前院西部靠中，新增点在前院西部靠边和前院中部的重点
orn_007,风尘三侠,灰塑,后进中路南面,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_008,福禄寿,灰塑,建筑墙体装饰位,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_009,福运连绵,灰塑,中进东路正面,stop_front_east_courtyard,change,manual_review_existing_node,前东庭
orn_010,福在眼前,灰塑,后进中路南面,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_011,公孙玩乐,灰塑,前东连廊西面,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_012,功名富贵,灰塑,建筑墙体装饰位,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_013,古城会,灰塑,庆基廊门南面（门额主体灰塑）,stop_front_courtyard_west,change,manual_review_existing_node,前院西部靠边
orn_014,寒江关,灰塑,前西连廊东面,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_015,九如图,灰塑,中进东路北面,stop_rear_east_courtyard_inner,add_node,manual_review_registered_add_node,后东庭，新增点在以后庭垂直中轴为对称轴的后西庭对称过去
orn_016,刘伶醉酒,灰塑,前东斋南面,stop_front_courtyard_east,change,manual_review_existing_node,前院东部靠边
orn_017,路路顺利,灰塑,中进西路南面,stop_front_west_courtyard,change,manual_review_existing_node,前西庭
orn_018,琶洲砥柱,灰塑,后东连廊西面,stop_rear_courtyard_east,change,manual_review_existing_node,后庭东侧
orn_019,齐眉贺寿,灰塑,首进西路北面,stop_front_west_courtyard,change,manual_review_existing_node,前西庭
orn_020,日月神,灰塑,后进东路南面,stop_rear_east_courtyard_inner,add_node,manual_review_registered_add_node,后东庭，新增点在以后庭垂直中轴为对称轴的后西庭对称过去
orn_021,狮子戏球,灰塑,前东连廊,stop_front_east_courtyard,change,manual_review_existing_node,前东庭
orn_022,松鹤延年,灰塑,首进中路北面,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_023,太师少师,灰塑,后东连廊,stop_rear_courtyard_east,change,manual_review_existing_node,后庭东侧
orn_024,桃园结义,灰塑,昌妫廊门南面,stop_front_courtyard_west_inner,add_node,manual_review_registered_add_node,前院西部靠中，新增点在前院西部靠边和前院中部的重点
orn_025,五福捧寿,灰塑,前东连廊东面,stop_front_east_courtyard,change,manual_review_existing_node,前东庭
orn_026,杏林春燕,灰塑,首进东路南面,label_moon_platform,change,manual_review_existing_node,月台
orn_027,夜游赤壁,灰塑,前西连廊东面,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_028,一品当朝,灰塑,中进东路南面,stop_front_east_courtyard,change,manual_review_existing_node,前东庭
orn_029,张松看孟德新书,灰塑,前东连廊东面,stop_front_east_courtyard,change,manual_review_existing_node,前东庭
orn_030,赵美容打飞熊,灰塑,蔚颖廊门南面（门额主体灰塑）,stop_front_courtyard_east_inner,add_node,manual_review_registered_add_node,前院东部靠中，新增点在前院东部靠边和前院中部的重点
orn_031,竹林七贤,灰塑,前西连廊西面,stop_front_west_courtyard,change,manual_review_existing_node,前西庭
orn_032,博古图、五福捧寿,木雕,首进中路,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_033,曹操大宴铜雀台,木雕,首进正门,entrance_main_outside,change,manual_review_existing_node,大门外
orn_034,赤壁之战,木雕,中进聚贤堂屏风,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭
orn_035,创大业儿孙永发,木雕,首进中路,label_first_main_hall,change,manual_review_existing_node,首进正厅
orn_036,福,木雕,首进中路,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_037,福,木雕,首进中路,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_038,郭子仪祝寿,木雕,中进聚贤堂屏风,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_039,黄飞虎反五关,木雕,中进聚贤堂屏风,stop_rear_courtyard_west,change,manual_review_existing_node,后庭西南侧
orn_040,践土会盟,木雕,首进正门西面（梁架）,entrance_main_outside,change,manual_review_existing_node,大门外
orn_041,截江夺阿斗,木雕,中进聚贤堂南面（檐板）,label_moon_platform,change,manual_review_existing_node,月台
orn_042,枯井救柴进,木雕,中进东路,stop_rear_east_courtyard_inner,add_node,manual_review_registered_add_node,后东庭
orn_043,雷神、张仙,木雕,首进正门西面,entrance_main_outside,change,manual_review_existing_node,大门外
orn_044,六国大封相,木雕,中进聚贤堂屏风,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_045,龙王八仙朝玉帝,木雕,中进聚贤堂屏风,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_046,拳打镇关西,木雕,中进东路,stop_rear_east_courtyard_inner,add_node,manual_review_registered_add_node,后东庭
orn_047,荣归故里,木雕,中进聚贤堂屏风,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_048,三打祝家庄,木雕,中进东路,stop_rear_east_courtyard_inner,add_node,manual_review_registered_add_node,后东庭
orn_049,三顾茅庐,木雕,中进西路屏风,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭
orn_050,三英战吕布,木雕,中进聚贤堂屏风,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭
orn_051,踏雪寻梅,木雕,首进中路,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_052,踏雪寻梅,木雕,首进中路,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_053,太白退蕃书,木雕,中进聚贤堂屏风,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_054,太平有象,梁架驼墩）（木雕,中进聚贤堂南面（梁架驼墩）,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_055,渭水访贤,木雕,中进聚贤堂屏风,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_056,西天取经,木雕,首进正门西面,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_057,薛仁贵大战盖苏文,木雕,中进聚贤堂屏风,stop_rear_courtyard_west,change,manual_review_existing_node,后庭西南侧
orn_058,血染鸳鸯楼,木雕,中进东路,stop_rear_east_courtyard_inner,add_node,manual_review_registered_add_node,后东庭
orn_059,夜宴桃李园,木雕,中进聚贤堂屏风,stop_rear_courtyard,change,manual_review_existing_node,后庭
orn_060,渔樵耕读,木雕,首进中路,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_061,渔舟唱晚,木雕,首进中路,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_062,岳飞大破金兵,木雕,中进聚贤堂屏风,stop_rear_courtyard_west,change,manual_review_existing_node,后庭西南侧
orn_063,长坂坡救阿斗,木雕,中进西路屏风,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭
orn_064,宝鸭穿莲,石雕,后进中路南面,stop_rear_courtyard_west,change,manual_review_existing_node,后庭西侧
orn_065,吹箫引凤,石雕,中进东路南面,stop_front_east_courtyard,change,manual_review_existing_node,前东庭
orn_066,风云际会,石雕,后进中路南面,stop_rear_courtyard_east,change,manual_review_existing_node,后庭东侧
orn_067,封侯挂印,石雕,首进正门,entrance_main_outside,change,manual_review_existing_node,大门外
orn_068,画龙点睛,石雕,中进东路南面,stop_front_east_courtyard,change,manual_review_existing_node,前东庭
orn_069,金蟾吐瑞气,石雕,首进正门,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_070,麻姑献寿,石雕,中进东路南面,stop_front_east_courtyard,change,manual_review_existing_node,前东庭东北侧
orn_071,狮子滚绣球,石雕,后进东路南面,stop_rear_courtyard_east,change,manual_review_existing_node,后东庭
orn_072,石狮子,石雕,首进正门,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_073,苏武牧羊,石雕,首进西路北面,stop_front_west_courtyard,change,manual_review_existing_node,前西庭
orn_074,踏雪寻梅,石雕,首进西路北面,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_075,太平有象,石雕,首进西路北面,stop_front_west_courtyard,change,manual_review_existing_node,前西庭
orn_076,天下文明,石雕,后进西路南面,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭
orn_077,一路连科,石雕,首进正门,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_078,引福归堂,石雕,首进中路北面,label_moon_platform,change,manual_review_existing_node,月台（前庭西北侧）
orn_079,壮士斗牛,石雕,后进西路南面,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭
