ornament_id,source_order,ornament_name,craft,raw_heading,raw_location,detail_lookup_key,candidate_node_id,candidate_node_name,match_confidence,review_state,match_rationale,reviewer_decision,final_node_id,review_notes
orn_001,1,百鸟朝凤,灰塑,百鸟朝凤（灰塑）,首进西路北面,百鸟朝凤（灰塑）,label_first_west_hall,首进西厅,medium,review_required,west first-bay candidate,,,
orn_002,2,百子千孙,灰塑,百子千孙（灰塑）,首进东路南面,百子千孙（灰塑）,label_first_east_hall,首进东厅,medium,review_required,east first-bay candidate,,,
orn_003,3,宝相花,灰塑,宝相花（灰塑）,后西厢庑廊,宝相花（灰塑）,label_rear_west_wing,后西厢,high,candidate_ready,mapped wing: 后西厢,,,
orn_004,4,蝙蝠,灰塑,蝙蝠（灰塑）,中进东路北面,蝙蝠（灰塑）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_005,5,独角狮,灰塑,独角狮（灰塑）,建筑山墙垂脊前沿,独角狮（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_006,6,独占鳌头,灰塑,独占鳌头（灰塑）,昌妫廊门南面,独占鳌头（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_007,7,风尘三侠,灰塑,风尘三侠（灰塑）,后进中路南面,风尘三侠（灰塑）,label_rear_main_hall,后进正厅,medium,review_required,route alias: 后进中路 → 后进正厅/中厅,,,
orn_008,8,福禄寿,灰塑,福禄寿（灰塑）,建筑墙体装饰位,福禄寿（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_009,9,福运连绵,灰塑,福运连绵（灰塑）,中进东路正面,福运连绵（灰塑）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_010,10,福在眼前,灰塑,福在眼前（灰塑）,后进中路南面,福在眼前（灰塑）,label_rear_main_hall,后进正厅,medium,review_required,route alias: 后进中路 → 后进正厅/中厅,,,
orn_011,11,公孙玩乐,灰塑,公孙玩乐（灰塑）,前东连廊西面,公孙玩乐（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_012,12,功名富贵,灰塑,功名富贵（灰塑）,建筑墙体装饰位,功名富贵（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_013,13,古城会,灰塑,古城会（灰塑）,庆基廊门南面（门额主体灰塑）,古城会（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_014,14,寒江关,灰塑,寒江关（灰塑）,前西连廊东面,寒江关（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_015,15,九如图,灰塑,九如图（灰塑）,中进东路北面,九如图（灰塑）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_016,16,刘伶醉酒,灰塑,刘伶醉酒（灰塑）,前东斋南面,刘伶醉酒（灰塑）,label_front_east_study,前东斋,high,candidate_ready,mapped room: 前东斋,,,
orn_017,17,路路顺利,灰塑,路路顺利（灰塑）,中进西路南面,路路顺利（灰塑）,label_middle_west_hall,中进西厅,medium,review_required,west middle-bay candidate,,,
orn_018,18,琶洲砥柱,灰塑,琶洲砥柱（灰塑）,后东连廊西面,琶洲砥柱（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_019,19,齐眉贺寿,灰塑,齐眉贺寿（灰塑）,首进西路北面,齐眉贺寿（灰塑）,label_first_west_hall,首进西厅,medium,review_required,west first-bay candidate,,,
orn_020,20,日月神,灰塑,日月神（灰塑）,后进东路南面,日月神（灰塑）,label_rear_east_hall,后进东厅,medium,review_required,east rear-bay candidate,,,
orn_021,21,狮子戏球,灰塑,狮子戏球（灰塑）,前东连廊,狮子戏球（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_022,22,松鹤延年,灰塑,松鹤延年（灰塑）,首进中路北面,松鹤延年（灰塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_023,23,太师少师,灰塑,太师少师（灰塑）,后东连廊,太师少师（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_024,24,桃园结义,灰塑,桃园结义（灰塑）,昌妫廊门南面,桃园结义（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_025,25,五福捧寿,灰塑,五福捧寿（灰塑）,前东连廊东面,五福捧寿（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_026,26,杏林春燕,灰塑,杏林春燕（灰塑）,首进东路南面,杏林春燕（灰塑）,label_first_east_hall,首进东厅,medium,review_required,east first-bay candidate,,,
orn_027,27,夜游赤壁,灰塑,夜游赤壁（灰塑）,前西连廊东面,夜游赤壁（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_028,28,一品当朝,灰塑,一品当朝（灰塑）,中进东路南面,一品当朝（灰塑）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_029,29,张松看孟德新书,灰塑,张松看孟德新书（灰塑）,前东连廊东面,张松看孟德新书（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_030,30,赵美容打飞熊,灰塑,赵美容打飞熊（灰塑）,蔚颖廊门南面（门额主体灰塑）,赵美容打飞熊（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_031,31,竹林七贤,灰塑,竹林七贤（灰塑）,前西连廊西面,竹林七贤（灰塑）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_032,32,博古图、五福捧寿,木雕,博古图、五福捧寿（木雕）,首进中路,博古图、五福捧寿（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_033,33,曹操大宴铜雀台,木雕,曹操大宴铜雀台（木雕）,首进正门,曹操大宴铜雀台（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_034,34,赤壁之战,木雕,赤壁之战（木雕）,中进聚贤堂屏风,赤壁之战（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_035,35,创大业儿孙永发,木雕,创大业儿孙永发（木雕）,首进中路,创大业儿孙永发（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_036,36,福,木雕,福（木雕）,首进中路,福（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_037,37,福,木雕,福（木雕）,首进中路,福（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_038,38,郭子仪祝寿,木雕,郭子仪祝寿（木雕）,中进聚贤堂屏风,郭子仪祝寿（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_039,39,黄飞虎反五关,木雕,黄飞虎反五关（木雕）,中进聚贤堂屏风,黄飞虎反五关（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_040,40,践土会盟,木雕,践土会盟（木雕）,首进正门西面（梁架）,践土会盟（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_041,41,截江夺阿斗,木雕,截江夺阿斗（木雕）,中进聚贤堂南面（檐板）,截江夺阿斗（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_042,42,枯井救柴进,木雕,枯井救柴进（木雕）,中进东路,枯井救柴进（木雕）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
