node_id,name,node_type,x,y,map_feature,parent_node_id,knowledge_id,status,source,notes
stop_rear_east_courtyard,后院东侧,guide_stop,1361,98,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_rear_courtyard_west,后庭西侧,guide_stop,1033,306,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_rear_courtyard,后庭,guide_stop,1149,316,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_rear_courtyard_east,后庭东侧,guide_stop,1287,316,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_rear_west_courtyard,后西庭,guide_stop,793,348,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_east_corridor_middle,东走廊-中部,guide_stop,1795,382,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_west_corridor_north,西侧走廊-北部,guide_stop,485,388,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_front_courtyard_north,前庭,guide_stop,1151,540,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_juxian_hall,中进聚贤堂,guide_stop,1149,626,blue_marker,label_juxian_hall,,confirmed_from_map,官网720导览图与团队审核,蓝点为聚贤堂讲解停留位置
stop_front_east_courtyard,前东庭,guide_stop,1563,632,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
stop_front_west_courtyard,前西庭,guide_stop,727,634,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,
entrance_main_outside,大门外,entrance,1149,858,blue_marker,,,confirmed_from_map,官网720导览图与团队审核,游客进入陈家祠前的起始位置
stop_front_courtyard_west,前院西部靠边,guide_stop,595,974,blue_marker,label_front_courtyard,,confirmed_from_map,官网720导览图与团队审核,
stop_front_courtyard_center,前院中部,guide_stop,1145,984,blue_marker,label_front_courtyard,,confirmed_from_map,官网720导览图与团队审核,
stop_front_courtyard_east,前院东部靠边,guide_stop,1705,990,blue_marker,label_front_courtyard,,confirmed_from_map,官网720导览图与团队审核,
label_rear_garden,后花园,courtyard,784,56,text_label,,,confirmed_from_map,官网720导览图文字,
label_rear_west_study,后西斋,study,575,174,text_label,,,confirmed_from_map,官网720导览图文字,
label_rear_west_hall,后进西厅,hall,795,174,text_label,,,confirmed_from_map,官网720导览图文字,
label_rear_main_hall,后进正厅,hall,1150,174,text_label,,,confirmed_from_map,官网720导览图文字,官网路线称“后进中厅”；团队已确认二者为同一空间
label_rear_east_hall,后进东厅,hall,1490,174,text_label,,,confirmed_from_map,官网720导览图文字,
label_rear_east_study,后东斋,study,1715,174,text_label,,,confirmed_from_map,官网720导览图文字,
label_rear_west_wing,后西厢,wing,580,291,text_label,,,confirmed_from_map,官网720导览图文字,
label_rear_east_wing,后东厢,wing,1710,291,text_label,,,confirmed_from_map,官网720导览图文字,
label_restroom,洗手间,service,307,417,text_label,,,confirmed_from_map,官网720导览图文字,服务设施位置仍需现场确认
label_middle_west_hall,中进西厅,hall,726,475,text_label,,,confirmed_from_map,官网720导览图文字,
label_juxian_hall,中进聚贤堂,hall,1150,475,text_label,,,confirmed_from_map,官网720导览图文字,
label_middle_east_hall,中进东厅,hall,1570,475,text_label,,,confirmed_from_map,官网720导览图文字,
label_middle_east_wing,中东厢,wing,1750,449,derived_midpoint,,,confirmed_from_map,团队地图审核,以前东厢和后东厢文字节点的坐标中点确定
label_moon_platform,月台,platform,1150,600,text_label,,stop_moon_platform,confirmed_from_map,官网720导览图文字,讲解停留点坐标待后续补充
label_front_west_wing,前西厢,wing,510,606,text_label,,,confirmed_from_map,官网720导览图文字,
label_front_east_wing,前东厢,wing,1790,606,text_label,,,confirmed_from_map,官网720导览图文字,
label_front_west_study,前西斋,study,509,767,text_label,,,confirmed_from_map,官网720导览图文字,
label_first_west_hall,首进西厅,hall,727,745,text_label,,,confirmed_from_map,官网720导览图文字,
label_first_main_hall,首进正厅,hall,1150,745,text_label,,,confirmed_from_map,官网720导览图文字,
label_first_east_hall,首进东厅,hall,1570,745,text_label,,,confirmed_from_map,官网720导览图文字,
label_front_east_study,前东斋,study,1790,767,text_label,,,confirmed_from_map,官网720导览图文字,
label_west_gate,西门,gate,148,862,text_label,,,confirmed_from_map,官网720导览图文字,游客可用性待现场确认
label_east_gate,东门,gate,2142,862,text_label,,,confirmed_from_map,官网720导览图文字,游客可用性待现场确认
label_office,办公室,service,2015,493,text_label,,,confirmed_from_map,官网720导览图文字,不作为常规游客路线节点
label_front_courtyard,前院,courtyard,1150,1232,text_label,,,confirmed_from_map,官网720导览图文字,
stop_rear_east_courtyard_inner,后东庭,junction,1505,348,derived_mirror,,,confirmed_from_map,Excel add_node 审核与团队空间规则,add_node_key=后东庭；由后西庭以以后庭垂直中轴镜像定位；已补连 edge_049 至 edge_052，待现场复核
stop_front_courtyard_west_inner,前院西部靠中,junction,870,979,derived_midpoint,label_front_courtyard,,confirmed_from_map,Excel add_node 审核与团队空间规则,add_node_key=前院西部靠中；前院西部靠边与前院中部坐标中点；已补连 edge_053、edge_054，待现场复核
stop_front_courtyard_east_inner,前院东部靠中,junction,1425,987,derived_midpoint,label_front_courtyard,,confirmed_from_map,Excel add_node 审核与团队空间规则,add_node_key=前院东部靠中；前院东部靠边与前院中部坐标中点；已补连 edge_055、edge_056，待现场复核
