edge_id,from_node_id,to_node_id,direction,walk_seconds,time_basis,accessibility,status,source,notes
edge_001,entrance_main_outside,stop_front_courtyard_center,both,25,estimated_from_map_and_official_route,unknown,confirmed_from_map,官网720导览图与团队审核,大门外→前院中部
edge_002,stop_front_courtyard_center,label_first_main_hall,both,20,estimated_from_map_and_official_route,unknown,confirmed_from_map,官网720导览图与团队审核,前院中部→首进正厅
edge_003,label_first_main_hall,label_moon_platform,both,20,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,首进正厅→月台
edge_004,label_moon_platform,stop_juxian_hall,both,20,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,月台→中进聚贤堂
edge_005,stop_juxian_hall,label_rear_main_hall,both,30,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,中进聚贤堂→后进中厅/后进正厅
edge_006,label_rear_main_hall,label_rear_east_hall,both,30,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,后进中厅/后进正厅→后进东厅
edge_007,label_rear_east_hall,label_middle_east_hall,both,55,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,后进东厅→中进东厅
edge_008,label_middle_east_hall,label_middle_east_wing,both,25,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,中进东厅→中东厢
edge_009,label_middle_east_wing,label_front_east_wing,both,25,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,中东厢→前东厢
edge_010,stop_juxian_hall,label_middle_west_hall,both,25,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,中进聚贤堂→中进西厅
edge_011,label_middle_west_hall,label_rear_main_hall,both,35,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,中进西厅→后进中厅/后进正厅
edge_012,label_rear_east_hall,label_rear_east_study,both,25,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,后进东厅→后东斋
edge_013,label_rear_east_study,label_rear_east_wing,both,20,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,后东斋→后东厢
edge_014,label_rear_east_wing,label_middle_east_hall,both,45,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,后东厢→中进东厅
edge_015,label_front_east_wing,label_first_east_hall,both,35,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,前东厢→首进东厅
edge_016,label_first_east_hall,label_first_west_hall,both,60,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,首进东厅→首进西厅
edge_017,label_first_west_hall,label_front_west_wing,both,25,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,首进西厅→前西厢
edge_018,label_front_west_wing,label_rear_west_hall,both,90,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,前西厢→后进西厅
edge_019,label_rear_west_hall,label_rear_main_hall,both,30,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,后进西厅与后进正厅同列相邻
edge_020,stop_juxian_hall,label_middle_east_hall,both,25,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,聚贤堂与中进东厅相邻
edge_021,label_first_main_hall,label_first_west_hall,both,25,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,首进正厅与首进西厅相邻
edge_022,label_first_main_hall,label_first_east_hall,both,25,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,首进正厅与首进东厅相邻
edge_023,stop_front_courtyard_west,label_front_courtyard,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,前院西部讲解点→前院
edge_024,stop_front_courtyard_center,label_front_courtyard,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,前院中部讲解点→前院
edge_025,stop_front_courtyard_east,label_front_courtyard,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,前院东部讲解点→前院
edge_026,stop_front_courtyard_north,label_moon_platform,both,25,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,前庭讲解点→月台
edge_027,stop_rear_courtyard_west,label_rear_west_hall,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,后庭西侧讲解点→后进西厅
edge_028,stop_rear_courtyard,label_rear_main_hall,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,后庭讲解点→后进正厅
edge_029,stop_rear_courtyard_east,label_rear_east_hall,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,后庭东侧讲解点→后进东厅
edge_030,stop_rear_west_courtyard,label_rear_west_hall,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,后西庭讲解点→后进西厅
edge_031,stop_rear_east_courtyard,label_rear_east_hall,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,后院东侧讲解点→后进东厅
edge_032,stop_east_corridor_middle,label_rear_east_wing,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,东走廊中部→后东厢
edge_033,stop_east_corridor_middle,label_middle_east_wing,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,东走廊中部→中东厢
edge_034,stop_west_corridor_north,label_rear_west_wing,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,西侧走廊北部→后西厢
edge_035,stop_west_corridor_north,label_middle_west_hall,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,西侧走廊北部→中进西厅
edge_036,stop_front_east_courtyard,label_first_east_hall,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,前东庭讲解点→首进东厅
edge_037,stop_front_west_courtyard,label_first_west_hall,both,15,estimated_from_map_and_official_route,unknown,inferred_from_map_geometry,官网720导览图与团队规则,前西庭讲解点→首进西厅
edge_038,stop_juxian_hall,label_juxian_hall,both,0,same_location,unknown,confirmed_from_map,官网720导览图与团队审核,聚贤堂蓝点讲解位置→聚贤堂文字地标
edge_039,label_front_courtyard,label_first_main_hall,both,20,estimated_from_map_and_official_route,unknown,confirmed_from_official_route,S03/官网路线,前院→首进正厅
